a bed	un lit
a bird	un oiseau
a brother	un frère
a car	une voiture
a chair	une chaise
a father	un père
a mother	une mère
a sister	une soeur
after	après
afternoon	l'après-midi
an apple	une pomme
animal	l'animal
before	avant
boy	le garçon
cat	le chat
dog	le chien
evening	le soir
father	le père
girl	la fille
hospital	l'hôpital
hotel	l'hôtel
hour	l'heure
husband	le mari
ice	le glaçon
jacket	la veste
kitchen	la cuisine
leg	la jambe
man	l'homme
manager	le gérant
midday	le midi
minute	la minute
morning	le matin
mother	la mère
motorcycle	la moto
night	la nuit
nurse	l'infirmière
pants	le pantelon
pencil	le crayon
plate	l'assiette
police	le policier
pretty	jolie
programmer	le programeur
rain	la pluie
salesperson	le vendeur
salt	le sel
second	la seconde
shirt	la chemise
shoe	la chaussure
shy	timide
snow	la neige
sock	le chaussette
sofa	le canapé
son	le fils
stomach	l'estomac
store	le magasin
sugar	le sucre
sun	le soleil
tea	le thé
teacher	le professeur
television	la télévision
today	aujourd'hui
tomorrow	demain
train	le train
vegetable	la légume
water	l'eau
week	la semaine
wife	l'épouse
wine	le vin
woman	la femme
year	l'année
yesterday	hier
